"entertainment","dining","cabin","amenities","cocktail_credits","avg_rating"
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Top Deck Hot Tubs","1",8.31307910726637
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Top Deck Hot Tubs","2",9.43588461762014
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Top Deck Hot Tubs","3",8.54098537365516
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Winter Wellness Spa","1",8.41545361887934
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Winter Wellness Spa","2",9.24129439383148
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Winter Wellness Spa","3",9.60032653409398
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Fireside Live Music","1",8.57785877442774
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Fireside Live Music","2",8.8863468376857
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Fireside Live Music","3",9.47558804013296
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Top Deck Hot Tubs","1",8.94108808624523
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Top Deck Hot Tubs","2",9.99409340967808
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Top Deck Hot Tubs","3",7.97040393467007
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Winter Wellness Spa","1",7.05352633985554
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Winter Wellness Spa","2",7.83459158344664
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Winter Wellness Spa","3",6.9258505979535
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Fireside Live Music","1",8.56500828850455
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Fireside Live Music","2",9.20276393089317
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Fireside Live Music","3",8.34424512688653
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Top Deck Hot Tubs","1",8.90518192432974
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Top Deck Hot Tubs","2",8.82396197024804
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Top Deck Hot Tubs","3",8.77982435517476
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Winter Wellness Spa","1",8.76902220681811
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Winter Wellness Spa","2",9.92563109695634
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Winter Wellness Spa","3",9.44428879981784
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Fireside Live Music","1",7.85332117899356
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Fireside Live Music","2",7.71386222997115
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Romantic Escape","Fireside Live Music","3",7.23174539033586
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Top Deck Hot Tubs","1",8.40438648759161
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Top Deck Hot Tubs","2",8.25533876838261
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Top Deck Hot Tubs","3",8.50780996212861
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Winter Wellness Spa","1",7.05667173494442
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Winter Wellness Spa","2",7.30734054994671
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Winter Wellness Spa","3",6.44258127699162
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Fireside Live Music","1",8.61473312462331
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Fireside Live Music","2",9.17750446986867
"East Coast Folk","Maine Lobster Nova Scotia Seafood Buffet","Modern Minimalist","Fireside Live Music","3",7.38622143213347
"East Coast Folk","Formal Multi-Course Plated","Cozy with Fireplace","Top Deck Hot Tubs","1",5.86826443736951
"East Coast Folk","Formal Multi-Course Plated","Cozy with Fireplace","Top Deck Hot Tubs","2",7.99364462867009
"East Coast Folk","Formal Multi-Course Plated","Cozy with Fireplace","Top Deck Hot Tubs","3",6.78042370737275
"East Coast Folk","Formal Multi-Course Plated","Cozy with Fireplace","Winter Wellness Spa","1",5.41496676300399
"East Coast Folk","Formal Multi-Course Plated","Cozy with Fireplace","Winter Wellness Spa","2",6.65448286444426
"East Coast Folk","Formal Multi-Course Plated","Cozy with Fireplace","Winter Wellness Spa","3",2.99165628291003
"East Coast Folk","Formal Multi-Course Plated","Cozy with Fireplace","Fireside Live Music","1",4.66151318329541
"East Coast Folk","Formal Multi-Course Plated","Cozy with Fireplace","Fireside Live Music","2",4.5297655667853
"East Coast Folk","Formal Multi-Course Plated","Cozy with Fireplace","Fireside Live Music","3",7.4126073884893
"East Coast Folk","Formal Multi-Course Plated","Nautical Chic","Top Deck Hot Tubs","1",8.11009334682248
"East Coast Folk","Formal Multi-Course Plated","Nautical Chic","Top Deck Hot Tubs","2",8.49579800778377
"East Coast Folk","Formal Multi-Course Plated","Nautical Chic","Top Deck Hot Tubs","3",7.29749186367481
"East Coast Folk","Formal Multi-Course Plated","Nautical Chic","Winter Wellness Spa","1",8.29553417923246
"East Coast Folk","Formal Multi-Course Plated","Nautical Chic","Winter Wellness Spa","2",6.48160816690596
"East Coast Folk","Formal Multi-Course Plated","Nautical Chic","Winter Wellness Spa","3",6.88449129836756
"East Coast Folk","Formal Multi-Course Plated","Nautical Chic","Fireside Live Music","1",5.98449069214485
"East Coast Folk","Formal Multi-Course Plated","Nautical Chic","Fireside Live Music","2",7.69175017362272
"East Coast Folk","Formal Multi-Course Plated","Nautical Chic","Fireside Live Music","3",3.848676689558
"East Coast Folk","Formal Multi-Course Plated","Romantic Escape","Top Deck Hot Tubs","1",7.04004778685255
"East Coast Folk","Formal Multi-Course Plated","Romantic Escape","Top Deck Hot Tubs","2",7.60234207627641
"East Coast Folk","Formal Multi-Course Plated","Romantic Escape","Top Deck Hot Tubs","3",3.60865972576111
"East Coast Folk","Formal Multi-Course Plated","Romantic Escape","Winter Wellness Spa","1",6.42073963568462
"East Coast Folk","Formal Multi-Course Plated","Romantic Escape","Winter Wellness Spa","2",7.59080264913501
"East Coast Folk","Formal Multi-Course Plated","Romantic Escape","Winter Wellness Spa","3",5.82245683819542
"East Coast Folk","Formal Multi-Course Plated","Romantic Escape","Fireside Live Music","1",6.06731906723653
"East Coast Folk","Formal Multi-Course Plated","Romantic Escape","Fireside Live Music","2",5.55883871759927
"East Coast Folk","Formal Multi-Course Plated","Romantic Escape","Fireside Live Music","3",5.67388708939157
"East Coast Folk","Formal Multi-Course Plated","Modern Minimalist","Top Deck Hot Tubs","1",7.41779694040757
"East Coast Folk","Formal Multi-Course Plated","Modern Minimalist","Top Deck Hot Tubs","2",9.62391868694581
"East Coast Folk","Formal Multi-Course Plated","Modern Minimalist","Top Deck Hot Tubs","3",8.14704952636697
"East Coast Folk","Formal Multi-Course Plated","Modern Minimalist","Winter Wellness Spa","1",2.28585762539555
"East Coast Folk","Formal Multi-Course Plated","Modern Minimalist","Winter Wellness Spa","2",5.50864888438279
"East Coast Folk","Formal Multi-Course Plated","Modern Minimalist","Winter Wellness Spa","3",3.94604212846497
"East Coast Folk","Formal Multi-Course Plated","Modern Minimalist","Fireside Live Music","1",6.76926877057797
"East Coast Folk","Formal Multi-Course Plated","Modern Minimalist","Fireside Live Music","2",7.09537472841805
"East Coast Folk","Formal Multi-Course Plated","Modern Minimalist","Fireside Live Music","3",2.62841214055951
"East Coast Folk","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Top Deck Hot Tubs","1",7.30006249524664
"East Coast Folk","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Top Deck Hot Tubs","2",3.21735634001899
"East Coast Folk","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Top Deck Hot Tubs","3",4.51617984872005
"East Coast Folk","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Winter Wellness Spa","1",7.10993265886689
"East Coast Folk","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Winter Wellness Spa","2",8.23882405124725
"East Coast Folk","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Winter Wellness Spa","3",4.44260698213523
"East Coast Folk","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Fireside Live Music","1",7.78734023507449
"East Coast Folk","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Fireside Live Music","2",7.72468064107807
"East Coast Folk","Coastal Tapas & Tasting Stations","Cozy with Fireplace","Fireside Live Music","3",7.56858344690828
"East Coast Folk","Coastal Tapas & Tasting Stations","Nautical Chic","Top Deck Hot Tubs","1",7.92455461592296
"East Coast Folk","Coastal Tapas & Tasting Stations","Nautical Chic","Top Deck Hot Tubs","2",8.31891203928773
"East Coast Folk","Coastal Tapas & Tasting Stations","Nautical Chic","Top Deck Hot Tubs","3",7.33044717848804
"East Coast Folk","Coastal Tapas & Tasting Stations","Nautical Chic","Winter Wellness Spa","1",9.27569747940547
"East Coast Folk","Coastal Tapas & Tasting Stations","Nautical Chic","Winter Wellness Spa","2",8.03214355582056
"East Coast Folk","Coastal Tapas & Tasting Stations","Nautical Chic","Winter Wellness Spa","3",5.21638358323024
"East Coast Folk","Coastal Tapas & Tasting Stations","Nautical Chic","Fireside Live Music","1",8.20285959293704
"East Coast Folk","Coastal Tapas & Tasting Stations","Nautical Chic","Fireside Live Music","2",8.20191966803886
"East Coast Folk","Coastal Tapas & Tasting Stations","Nautical Chic","Fireside Live Music","3",5.91782858137752
"East Coast Folk","Coastal Tapas & Tasting Stations","Romantic Escape","Top Deck Hot Tubs","1",7.29046633259073
"East Coast Folk","Coastal Tapas & Tasting Stations","Romantic Escape","Top Deck Hot Tubs","2",4.75128747104482
"East Coast Folk","Coastal Tapas & Tasting Stations","Romantic Escape","Top Deck Hot Tubs","3",3.61999320841657
"East Coast Folk","Coastal Tapas & Tasting Stations","Romantic Escape","Winter Wellness Spa","1",6.66566620090442
"East Coast Folk","Coastal Tapas & Tasting Stations","Romantic Escape","Winter Wellness Spa","2",9.16911836380385
"East Coast Folk","Coastal Tapas & Tasting Stations","Romantic Escape","Winter Wellness Spa","3",7.52220080263849
"East Coast Folk","Coastal Tapas & Tasting Stations","Romantic Escape","Fireside Live Music","1",5.34907331163447
"East Coast Folk","Coastal Tapas & Tasting Stations","Romantic Escape","Fireside Live Music","2",9.49404244161025
"East Coast Folk","Coastal Tapas & Tasting Stations","Romantic Escape","Fireside Live Music","3",4.35814527539291
"East Coast Folk","Coastal Tapas & Tasting Stations","Modern Minimalist","Top Deck Hot Tubs","1",8.12678854882832
"East Coast Folk","Coastal Tapas & Tasting Stations","Modern Minimalist","Top Deck Hot Tubs","2",7.38146091320335
"East Coast Folk","Coastal Tapas & Tasting Stations","Modern Minimalist","Top Deck Hot Tubs","3",5.28895701440426
"East Coast Folk","Coastal Tapas & Tasting Stations","Modern Minimalist","Winter Wellness Spa","1",6.82192989958146
"East Coast Folk","Coastal Tapas & Tasting Stations","Modern Minimalist","Winter Wellness Spa","2",7.40085089389024
"East Coast Folk","Coastal Tapas & Tasting Stations","Modern Minimalist","Winter Wellness Spa","3",3.83979380579843
"East Coast Folk","Coastal Tapas & Tasting Stations","Modern Minimalist","Fireside Live Music","1",5.52882784657585
"East Coast Folk","Coastal Tapas & Tasting Stations","Modern Minimalist","Fireside Live Music","2",5.58815887491808
"East Coast Folk","Coastal Tapas & Tasting Stations","Modern Minimalist","Fireside Live Music","3",8.61015580805942
"East Coast Folk","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Top Deck Hot Tubs","1",6.40485300506748
"East Coast Folk","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Top Deck Hot Tubs","2",6.60281103052111
"East Coast Folk","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Top Deck Hot Tubs","3",8.74923309145831
"East Coast Folk","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Winter Wellness Spa","1",6.10405616388272
"East Coast Folk","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Winter Wellness Spa","2",8.71967656045791
"East Coast Folk","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Winter Wellness Spa","3",7.13871784499903
"East Coast Folk","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Fireside Live Music","1",3.41034100518681
"East Coast Folk","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Fireside Live Music","2",6.26628980841757
"East Coast Folk","Casual Fireside Grill with Hot Cider","Cozy with Fireplace","Fireside Live Music","3",5.01642187656555
"East Coast Folk","Casual Fireside Grill with Hot Cider","Nautical Chic","Top Deck Hot Tubs","1",9.0940726370954
"East Coast Folk","Casual Fireside Grill with Hot Cider","Nautical Chic","Top Deck Hot Tubs","2",9.55059630329362
"East Coast Folk","Casual Fireside Grill with Hot Cider","Nautical Chic","Top Deck Hot Tubs","3",8.96503018884091
"East Coast Folk","Casual Fireside Grill with Hot Cider","Nautical Chic","Winter Wellness Spa","1",8.3234579756839
"East Coast Folk","Casual Fireside Grill with Hot Cider","Nautical Chic","Winter Wellness Spa","2",4.71296434320184
"East Coast Folk","Casual Fireside Grill with Hot Cider","Nautical Chic","Winter Wellness Spa","3",7.87633013106253
"East Coast Folk","Casual Fireside Grill with Hot Cider","Nautical Chic","Fireside Live Music","1",9.06079665891722
"East Coast Folk","Casual Fireside Grill with Hot Cider","Nautical Chic","Fireside Live Music","2",9.06762331205879
"East Coast Folk","Casual Fireside Grill with Hot Cider","Nautical Chic","Fireside Live Music","3",4.56030265462556
"East Coast Folk","Casual Fireside Grill with Hot Cider","Romantic Escape","Top Deck Hot Tubs","1",5.22592212479839
"East Coast Folk","Casual Fireside Grill with Hot Cider","Romantic Escape","Top Deck Hot Tubs","2",8.07934093894012
"East Coast Folk","Casual Fireside Grill with Hot Cider","Romantic Escape","Top Deck Hot Tubs","3",8.89981645700487
"East Coast Folk","Casual Fireside Grill with Hot Cider","Romantic Escape","Winter Wellness Spa","1",8.50053780245056
"East Coast Folk","Casual Fireside Grill with Hot Cider","Romantic Escape","Winter Wellness Spa","2",8.51094904660929
"East Coast Folk","Casual Fireside Grill with Hot Cider","Romantic Escape","Winter Wellness Spa","3",5.1138202550929
"East Coast Folk","Casual Fireside Grill with Hot Cider","Romantic Escape","Fireside Live Music","1",8.96632743181787
"East Coast Folk","Casual Fireside Grill with Hot Cider","Romantic Escape","Fireside Live Music","2",7.28403636330271
"East Coast Folk","Casual Fireside Grill with Hot Cider","Romantic Escape","Fireside Live Music","3",5.31590789087316
"East Coast Folk","Casual Fireside Grill with Hot Cider","Modern Minimalist","Top Deck Hot Tubs","1",6.83366078335429
"East Coast Folk","Casual Fireside Grill with Hot Cider","Modern Minimalist","Top Deck Hot Tubs","2",8.54613495988774
"East Coast Folk","Casual Fireside Grill with Hot Cider","Modern Minimalist","Top Deck Hot Tubs","3",7.47637041709654
"East Coast Folk","Casual Fireside Grill with Hot Cider","Modern Minimalist","Winter Wellness Spa","1",3.71963291992342
"East Coast Folk","Casual Fireside Grill with Hot Cider","Modern Minimalist","Winter Wellness Spa","2",5.55842712419975
"East Coast Folk","Casual Fireside Grill with Hot Cider","Modern Minimalist","Winter Wellness Spa","3",6.57608190460196
"East Coast Folk","Casual Fireside Grill with Hot Cider","Modern Minimalist","Fireside Live Music","1",4.13741663675147
"East Coast Folk","Casual Fireside Grill with Hot Cider","Modern Minimalist","Fireside Live Music","2",6.49437060763202
"East Coast Folk","Casual Fireside Grill with Hot Cider","Modern Minimalist","Fireside Live Music","3",4.52857148280092
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Top Deck Hot Tubs","1",9.3705621360486
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Top Deck Hot Tubs","2",8.4308746916765
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Top Deck Hot Tubs","3",7.07614670702401
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Winter Wellness Spa","1",9.09371812554437
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Winter Wellness Spa","2",9.75548113711466
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Winter Wellness Spa","3",7.06661733521106
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Fireside Live Music","1",7.37621732562343
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Fireside Live Music","2",6.06110599831159
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Cozy with Fireplace","Fireside Live Music","3",8.76341181215921
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Top Deck Hot Tubs","1",6.67222636027263
"Jazz Blues","Maine Lobster Nova Scotia Seafood Buffet","Nautical Chic","Top Deck Hot Tubs","2",9.23372875915733
